Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
341,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1829,2115,1994,28 Oct 2022
342,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1830,1860,1837,08 May 2018
343,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1830,1900,1860,23 Sep 2021
344,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1830,1924,1889,30 May 2018
345,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1830,1939,1907,22 May 2018
346,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1830,1960,1862,10 May 2018
347,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1830,2000,1946,21 Feb 2018
348,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1830,2025,1906,11 Feb 2020
349,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1830,2260,1900,28 Feb 2020
350,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1830,2270,2050,24 Nov 2021
351,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1840,1840,1840,02 Nov 2022
352,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1840,1840,1840,19 May 2018
353,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1843,2090,1968,10 Apr 2018
354,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,1850,1850,13 Dec 2021
355,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,1850,1850,14 Feb 2022
356,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,1850,1850,17 Aug 2021
357,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,1850,1850,17 Jul 2018
358,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,1850,1850,18 Mar 2022
359,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,1850,1850,30 Apr 2018
360,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,1850,1850,31 Aug 2018
361,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,1853,1851,11 May 2018
362,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,1890,1882,06 Sep 2018
363,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,1900,1874,12 Jul 2018
364,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,1940,1900,10 Dec 2019
365,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,1950,1920,03 Dec 2019
366,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,1950,1920,25 Nov 2019
367,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,1965,1885,19 Jul 2018
368,Davangere,Davangere,Ragi (Finger Millet),Local,FAQ,1850,1969,1936,28 Apr 2018
